Vortexecurity;7 Powmillon Ct, Strathaven ML10 6UF, Wielka Brytania;2;TRUE;FALSE;FALSE;48,47399363;63,91481666;122;262
Nemotors;16 Pathhead, New Cumnock, Cumnock KA18 4DT, Wielka Brytania;4;TRUE;FALSE;FALSE;18,40814218;-156,4277265;116;193
Felinetworks;11 Waston, Orkney KW17, Wielka Brytania;5;FALSE;FALSE;FALSE;-74,83977683;59,5358341;70;131
Cubecast;1 Fairfield Way, Burgh, Norwich NR11 6TT, Wielka Brytania;5;FALSE;FALSE;TRUE;-36,74625087;167,1029435;43;90
Dreamland;17 Clevis Ln, Porthcawl CF36 5NS, Wielka Brytania;5;TRUE;FALSE;FALSE;52,4551916;-81,43097821;137;239
Marsway;Brittain Way, Stevenage SG2 8UT, Wielka Brytania;2;TRUE;FALSE;FALSE;86,65774638;144,0355126;91;145
Thor Systems;94 Peter St, Manchester M2 5PD, Wielka Brytania;4;FALSE;FALSE;TRUE;54,70417233;-159,858889;114;236
Ogre;1 Cocker Ave, Poulton-le-Fylde FY6 8JU, Wielka Brytania;4;FALSE;FALSE;FALSE;18,06456505;-34,96421535;111;224
Antler Sports;Patron's Dr, Sandbach CW11 3WZ, Wielka Brytania;4;FALSE;FALSE;TRUE;50,92439133;-154,2811617;117;209
Spicurity;21-33 Frederick St, Neyland, Milford Haven SA73 1TG, Wielka Brytania;2;FALSE;TRUE;TRUE;13,86261649;122,7734306;112;240
Sharkfinetworks;California Cir, High Wycombe HP11, Wielka Brytania;1;TRUE;TRUE;TRUE;18,40315626;-113,3516188;123;232
Imaginetworks;Abbots Well Rd, Fordingbridge SP6, Wielka Brytania;3;FALSE;TRUE;TRUE;69,38440624;79,74751732;107;219
Mysticorps;143 Mill Ln, Denton, Manchester M34 7RS, Wielka Brytania;2;TRUE;FALSE;TRUE;88,81393445;14,75638007;74;144
Beedlewares;111 Killingworth Ave, Backworth, Newcastle upon Tyne NE27 0AY, Wielka Brytania;4;FALSE;TRUE;FALSE;54,81491648;31,25789956;68;150
Gorillaway;4 Ropewalk, Fishguard SA65 9BT, Wielka Brytania;4;TRUE;FALSE;TRUE;47,12654676;179,5650662;75;131
Tigerbooks;1 Ailesbury St, Newport NP20 5NB, Wielka Brytania;5;TRUE;FALSE;TRUE;-29,710586;-58,49648846;108;227
Moonlit Microsystems;399 Harewood St, Bradford BD3 9EF, Wielka Brytania;5;TRUE;TRUE;FALSE;19,34032666;76,29803153;102;167
Tempest Records;1 Justin's Hill, Wyesham, Monmouth NP25 3TD, Wielka Brytania;2;FALSE;FALSE;FALSE;-43,34389249;-60,91665067;77;144
Tide;39-41 Pope's Ave, Twickenham TW2, Wielka Brytania;3;TRUE;FALSE;FALSE;-75,72119015;142,4356277;86;162
Vortexecurity;A947, Aberdeen AB21 7PR, Wielka Brytania;5;FALSE;TRUE;TRUE;65,80212002;-116,3802167;110;205
Protonetworks;7 Cornhill Rd, Tweedmouth, Berwick-upon-Tweed TD15 2DY, Wielka Brytania;5;TRUE;FALSE;FALSE;-23,82155958;-165,583913;129;271
Willowares;New Dukes Way, Chelmsford CM2, Wielka Brytania;3;FALSE;FALSE;TRUE;53,76981851;40,74864708;62;88
Aprico;2 Stirling Rd, Shirley, Solihull B90 4NE, Wielka Brytania;4;TRUE;FALSE;TRUE;46,96928028;-59,5694926;98;200
Vortexworks;19 Chandlers Reach, Llantwit Fardre, Pontypridd CF38 2NJ, Wielka Brytania;3;TRUE;TRUE;TRUE;68,2553902;132,6854068;116;210
Desertfruit;38 Bay Rd, Gosport PO12 2QA, Wielka Brytania;1;TRUE;TRUE;FALSE;-41,56589978;68,71777569;102;205
Spiderhive;Holeyn Hall Rd, Wylam NE41 8BA, Wielka Brytania;1;TRUE;TRUE;TRUE;34,85739573;179,5213768;49;75
Grasshopper Media;Cliffords Inn, London WC2A 1PR, Wielka Brytania;3;FALSE;FALSE;TRUE;-39,11174822;-60,99295365;61;107
Lion Limited;120-122 Muswell Hill, London N10 3RU, Wielka Brytania;2;TRUE;FALSE;TRUE;-80,19048963;155,6685066;94;196
Smile;10 Lochleven Gardens, Lochore, Lochgelly KY5 8EZ, Wielka Brytania;4;FALSE;TRUE;FALSE;-53,70823522;34,73801869;100;209
Tidustries;14 Arnott Rd, Auchterarder PH4, Wielka Brytania;3;FALSE;FALSE;TRUE;-31,6485319;-143,1104832;110;196
Berrycords;Park Court, 331 North Rd, Manchester M11 4NY, Wielka Brytania;1;TRUE;FALSE;FALSE;84,04766258;-67,0923173;127;238
Mazecurity;Garnswllt Rd, Pontarddulais, Swansea SA4, Wielka Brytania;4;TRUE;FALSE;FALSE;-0,088443802;110,315278;62;141
Blossomotors;Dart Rocks Cafe, 6 Church Cl, Dartmouth TQ6 9DH, Wielka Brytania;1;TRUE;FALSE;TRUE;62,92098508;-143,4124714;83;130
Flowerhead;2 Duart Cottages, Lochdon, Isle of Mull PA64 6AP, Wielka Brytania;4;FALSE;FALSE;FALSE;86,28735482;-92,34657683;53;102
Clifflight;6 Warrel's Rd, Leeds LS13 3NG, Wielka Brytania;2;FALSE;TRUE;TRUE;-83,87318481;67,16093964;70;144
Houndbite;6 Osterley Ln, Southall UB2 4LB, Wielka Brytania;2;FALSE;TRUE;FALSE;-43,44199947;-139,7648793;46;65
Core Enterprises;2 The Bartons, Netley Firs Rd, Hedge End, Southampton SO30 4AZ, Wielka Brytania;5;FALSE;FALSE;TRUE;77,30478657;169,3986414;125;244
Glacier Arts;3 George St, New Quay SA45 9QR, Wielka Brytania;5;TRUE;TRUE;FALSE;-35,18858643;63,67447178;133;275
Brisk;99 Clapgate Ln, Ipswich IP3 0RA, Wielka Brytania;5;FALSE;TRUE;FALSE;-85,8959074;28,67391636;119;236
Herculentertainment;2 Falkland Park Ave, London SE25, Wielka Brytania;2;FALSE;TRUE;FALSE;-62,13220178;-35,12124046;139;261
Oystertainment;15 Mark Hall Moors, Harlow CM20 2ND, Wielka Brytania;4;FALSE;TRUE;FALSE;-83,92713119;-35,14761045;83;184
Shadoworks;473 Stanningley Rd, Leeds LS13 4AP, Wielka Brytania;2;TRUE;TRUE;FALSE;4,642577234;177,5325795;130;236
Cruisertainment;171 Cross Ln, Salford M5 4AA, Wielka Brytania;2;TRUE;FALSE;FALSE;-33,42058205;-16,34340689;138;283
Marbleworks;2 Templebar Rd, Kilgetty SA68 0RA, Wielka Brytania;4;FALSE;FALSE;FALSE;-3,902670213;-15,7056911;104;207
Motionware;196 Southport Rd, Lydiate, Liverpool L31 4EF, Wielka Brytania;1;TRUE;TRUE;TRUE;59,44897681;40,05946939;125;245
Wizardbridge;Lon Las, Brynteg LL78 7JG, Wielka Brytania;5;FALSE;FALSE;TRUE;59,88691865;128,1186397;134;231
Sunlight Records;Unnamed Road, Turriff AB53 8EA, Wielka Brytania;2;TRUE;TRUE;FALSE;-10,49866701;130,6547282;88;157
Buzzy Bee Coms;317B Colne Way, Watford WD24 7ND, Wielka Brytania;1;FALSE;FALSE;FALSE;-14,61723321;34,81348653;126;266
Storm Productions;1 Spa Rd, Feering, Colchester CO5 9PZ, Wielka Brytania;3;FALSE;TRUE;FALSE;68,98562911;138,6500866;119;204
Seedtronics;8 Sangster Ave, Melksham SN12 7PL, Wielka Brytania;5;FALSE;FALSE;TRUE;-23,17847473;-127,1732075;122;222
Monarctronics;Unnamed Road, Dalwhinnie PH19 1AE, Wielka Brytania;1;TRUE;FALSE;FALSE;47,88247232;-25,52795404;106;214
Tortoisecurity;19 Cheam Cl, Epsom, Tadworth KT20 5HR, Wielka Brytania;4;FALSE;TRUE;TRUE;68,05899508;27,34321151;98;163
Zeusolutions;103 King St, Maryport CA15 6AZ, Wielka Brytania;1;FALSE;TRUE;FALSE;20,42145633;-47,64208486;115;241
Stormtechs;12 Rickling, Basildon SS16 4LZ, Wielka Brytania;5;TRUE;TRUE;TRUE;-59,21775808;6,365248516;131;279
Karmaware;7 Market Brae, Ellon AB41 8BL, Wielka Brytania;2;FALSE;FALSE;FALSE;-48,29166266;34,21856101;62;98
Karmaair;539 Locking Rd, Weston-super-Mare BS22 8QU, Wielka Brytania;1;TRUE;TRUE;FALSE;-33,10919899;-100,7875876;79;154
RoliMpeks;5 Castlelaw Rd, Edinburgh EH13 0DN, Wielka Brytania;5;FALSE;FALSE;FALSE;-39,30438382;50,23352357;76;146
